ད་ལྟ,འདས་པ,མ་འོངས,སྐུལ་ཚིག,TDC,PH,GT,KN
ཀེར,ཀེར༼ད༽,ཀེར,ཀེར༼ད༽,,,GT,
ཀེར,ཀེར,ཀེར,,TDC,,,
ཀེར,ཀེར,ཀེར,ཀེར,PH,,,
ཀོང,བཀོངས,བཀོང,ཀོངས,,,GT,
ཀྲོང,བཀྲོངས,བཀྲོང,ཀྲོངས,,,,KN
ཀླུབ,ཀླུབས,ཀླུབ,ཀླུབས,,,GT,
ཀླུབ,བཀླུབས,བཀླུབ,ཀླུབས,TDC,PH,GT,KN
ཀློག,བཀླགས,བཀླག,ཀློགས,TDC,PH,GT,KN
དཀའ,དཀའ,དཀའ,,TDC,PH,,
དཀུ,དཀུ,དཀུ,,TDC,PH,,
དཀྱུ,དཀྱུས,དཀྱུ,དཀྱུས,TDC,PH,GT,
དཀྱུ,དཀྱུས,དཀྱུ,བཀྱུས,,,,KN
དཀྲི,དཀྲིས,དཀྲི,དཀྲིས,TDC,PH,GT,KN
དཀྲིག,དཀྲིགས,དཀྲིག,དཀྲིགས,TDC,PH,GT,KN
དཀྲུག,དཀྲུགས,དཀྲུག,དཀྲུགས,TDC,PH,GT,KN
དཀྲུམ,དཀྲུམས,དཀྲུམ,དཀྲུམས,TDC,PH,GT,
དཀྲོག,དཀྲོགས,དཀྲོག,དཀྲོགས,TDC,PH,GT,KN
དཀྲོལ,དཀྲོལ༼ད༽,དཀྲོལ,དཀྲོལ༼ད༽,,,GT,
དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,TDC,PH,,KN
དཀྲོས,བཀྲོས,བཀྲོས,དཀྲོས,,,GT,
བཀན,བཀན༼ད༽,བཀན,བཀན༼ད༽,,,GT,
བཀན,བཀན,བཀན,བཀན,TDC,PH,,KN
བཀུ,བཀུས,བཀུ,བཀུས,TDC,PH,,KN
བཀུར,བཀུར,བཀུར,བཀུར,TDC,PH,,KN
བཀོང,བཀོང,བཀོང,བཀོང,TDC,PH,,
བཀོང,བཀོངས,བཀོང,བཀོང,,,,KN
བཀོན,བཀོན,བཀོན,བཀོན,,,,KN
བཀོལ,བཀོལ,བཀོལ,བཀོལ,,,,KN
བཀོལ,བཀོལ,བཀོལ,ཁོལ,TDC,PH,,
བཀྱོན,བཀྱོན༼ད༽,བཀྱོན,བཀྱོན༼ད༽,,,GT,
བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,TDC,PH,,KN
བཀྲབ,བཀྲབས,བཀྲབ,བཀྲོབས,TDC,PH,,KN
བཀྲམ,བཀྲམས,བཀྲམ,,TDC,,,
བཀྲལ,བཀྲལ,བཀྲལ,བཀྲོལ,TDC,PH,,
བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,TDC,PH,,KN
བཀྲེས,བཀྲེས,བཀྲེས,,TDC,PH,,
བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,,,GT,
རྐམ,བརྐམ,བརྐམ,,,PH,,
རྐམ,བརྐམས,བརྐམ,རྐམས,,,GT,
རྐུ,བརྐུས,བརྐུ,རྐུས,TDC,PH,GT,KN
རྐོ,བརྐོས,བརྐོ,རྐོས,TDC,PH,GT,KN
རྐོན,བརྐོན༼ད༽,བརྐོན,རྐོན༼ད༽,,,GT,
རྐྱལ,རྐྱལ,རྐྱལ,རྐྱོལ,TDC,PH,,KN
རྐྱོང,བརྐྱངས,བརྐྱང,རྐྱོངས,TDC,PH,GT,KN
ལྐུག,ལྐུགས,ལྐུག,ལྐུགས,,PH,GT,
ལྐུགས,ལྐུགས,ལྐུགས,,TDC,,,
སྐམ,བསྐམས,བསྐམ,སྐམས,,,GT,
སྐུ༼སྐུད༽,བསྐུས,བསྐུ,སྐུས,,,GT,
སྐུག,བསྐུགས,བསྐུག,སྐུགས,TDC,PH,,KN
སྐུང,བསྐུངས,བསྐུང,སྐུངས,TDC,PH,GT,KN
སྐུད,བསྐུས,སྐུ,སྐུས,,,,KN
སྐུད,བསྐུས,བསྐུ,སྐུས,TDC,PH,,
སྐུམ,བསྐུམས,བསྐུམ,སྐུམས,TDC,PH,GT,KN
སྐུར,བསྐུར༼ད༽,བསྐུར,སྐུར༼ད༽,,,GT,
སྐུར,བསྐུར,བསྐུར,སྐུར,TDC,PH,,KN
སྐུལ,བསྐུལ༼ད༽,བསྐུལ,སྐུལ༼ད༽,,,GT,
སྐུལ,བསྐུལ,བསྐུལ,སྐུལ,TDC,PH,,KN
སྐེམ,བསྐམས,བསྐམ,སྐོམས,TDC,PH,,KN
སྐེམ༼སྐམ༽,བསྐམས,བསྐམ,སྐེམས༼སྐམས༽,,,GT,
སྐོ,བསྐོས,བསྐོ,སྐོས,TDC,PH,GT,KN
སྐོང,བསྐངས,བསྐང,སྐོངས,TDC,PH,GT,KN
སྐོང,བསྐོངས,བསྐོང,སྐོངས,TDC,PH,,
སྐོན,བསྐོན༼ད༽,བསྐོན,སྐོན༼ད༽,,,GT,
སྐོན,བསྐོན,སྐོན,སྐོན,,,,KN
སྐོན,བསྐོན,བསྐོན,སྐོན,TDC,PH,,
སྐོམ,སྐོམས,སྐོམ,,TDC,PH,,
སྐོར,བསྐོར༼ད༽,བསྐོར,སྐོར༼ད༽,,,GT,
སྐོར,བསྐོར,སྐོར,སྐོར,,,,KN
སྐོར,བསྐོར,བསྐོར,སྐོར,TDC,PH,,
སྐོལ,བསྐོལ༼ད༽,བསྐོལ,སྐོལ༼ད༽,,,GT,
སྐོལ,བསྐོལ,བསྐོལ,སྐོལ,TDC,PH,,
སྐྱ,བསྐྱས,བསྐྱ,སྐྱས,,,GT,
སྐྱ,བསྐྱས,བསྐྱ,སྐྱོས,TDC,PH,,
སྐྱད,བསྐྱད,བསྐྱད,སྐྱད,,,GT,
སྐྱི,བསྐྱིས,བསྐྱི,སྐྱིས,TDC,PH,GT,KN
སྐྱིག,བསྐྱིགས,བསྐྱིག,སྐྱིགས,,,GT,
སྐྱིན,བསྐྱིན༼ད༽,བསྐྱིན,སྐྱིན༼ད༽,,,GT,
སྐྱིལ,བསྐྱིལ༼ད༽,བསྐྱིལ,སྐྱིལ༼ད༽,,,GT,
སྐྱིལ,བསྐྱིལ,བསྐྱིལ,སྐྱིལ,TDC,PH,,KN
སྐྱུག,སྐྱུགས,སྐྱུག,སྐྱུགས,,,GT,
སྐྱུག,བསྐྱུགས,བསྐྱུག,སྐྱུགས,TDC,PH,GT,KN
སྐྱུང,བསྐྱུངས,བསྐྱུང,སྐྱུངས,TDC,PH,GT,KN
སྐྱུད,བསྐྱུད,བསྐྱུད,,TDC,,,
སྐྱུད,བསྐྱུད,བསྐྱུད,སྐྱུད,,PH,GT,KN
སྐྱུར,བསྐྱུར༼ད༽,བསྐྱུར,སྐྱུར༼ད༽,,,GT,
སྐྱུར,བསྐྱུར,བསྐྱུར,སྐྱུར,TDC,PH,,KN
སྐྱེ,སྐྱེས,སྐྱེ,,TDC,,,KN
སྐྱེ,སྐྱེས,སྐྱེ,སྐྱེས,,PH,GT,
སྐྱེང,སྐྱེངས,སྐྱེང,སྐྱེངས,,,GT,
སྐྱེང,བསྐྱེངས,བསྐྱེང,སྐྱེངས,,,GT,
སྐྱེངས,སྐྱེངས,སྐྱེངས,,TDC,PH,,
སྐྱེད,བསྐྱེད,བསྐྱེད,སྐྱེད,TDC,PH,GT,KN
སྐྱེལ,བསྐྱལ༼ད༽,བསྐལ,སྐྱོལ༼ད༽༼སྐྱོལ༽,,,GT,
སྐྱེལ,བསྐྱལ,བསྐྱལ,སྐྱོལ,TDC,PH,,KN
སྐྱོ,སྐྱོ,སྐྱོ,,TDC,PH,,
སྐྱོ,སྐྱོ,སྐྱོ,སྐྱོ,,,GT,
སྐྱོག,བསྐྱོགས,བསྐྱོག,སྐྱོགས,TDC,PH,GT,
སྐྱོང,བསྐྱངས,བསྐྱང,སྐྱོངས,TDC,PH,GT,KN
སྐྱོད,བསྐྱོད,བསྐྱོད,,TDC,,,
སྐྱོད,བསྐྱོད,བསྐྱོད,སྐྱོད,TDC,PH,GT,KN
སྐྱོན,སྐྱོན༼ད༽,སྐྱོན,སྐྱོན༼ད༽,,,GT,
སྐྱོན,བསྐྱོན༼ད༽,བསྐྱོན,སྐྱོན༼ད༽,,,GT,
སྐྱོན,བསྐྱོན,བསྐྱོན,སྐྱོན,TDC,PH,,KN
སྐྱོབ,བསྐྱབས,བསྐྱབ,སྐྱོབས,TDC,PH,GT,KN
སྐྱོམ,བསྐྱམས,བསྐྱམ,སྐྱོམས,TDC,PH,GT,KN
སྐྱོར,བསྐྱར༼ད༽,བསྐྱར,སྐྱོར༼ད༽,,,GT,
སྐྱོར,བསྐྱར,བསྐྱར,སྐྱོར,TDC,PH,,KN
སྐྱོར,བསྐྱོར༼ད༽,བསྐྱོར,སྐྱོར༼ད༽,,,GT,
སྐྱོར,བསྐྱོར,བསྐྱོར,སྐྱོར,TDC,PH,,
སྐྲག,སྐྲག,སྐྲག,,TDC,,,
སྐྲག,སྐྲགས,སྒྲག,སྐྲགས,,PH,GT,
སྐྲང,སྐྲངས,སྐྲང,,TDC,,,KN
སྐྲང,སྐྲངས,སྐྲང,སྐྲངས,,PH,GT,
སྐྲང,བསྐྲངས,བསྐྲང,སྐྲངས,,,GT,
སྐྲབ,བསྐྲབས,བསྐྲབ,སྐྲབས,,PH,GT,
སྐྲུ,བསྐྲུས,བསྐྲུ,སྐྲུས,TDC,PH,GT,KN
སྐྲུན,བསྐྲུན༼ད༽,བསྐྲུན,སྐྲུན༼ད༽,,,GT,
སྐྲུན,བསྐྲུན,བསྐྲུན,སྐྲུན,TDC,PH,,KN
སྐྲོག,བསྐྲོགས,བསྐྲོག,སྐྲོགས,TDC,PH,,
སྐྲོད,བསྐྲད,བསྐྲད,སྐྲོད,TDC,PH,GT,KN
སྐྲོལ,བསྐྲོལ༼ད༽,བསྐྲོལ,སྐྲོལ༼ད༽,,,GT,
བརྐམ,བརྐམ,བརྐམ,,TDC,PH,,
བསྐལ,བསྐལ,བསྐལ,,TDC,PH,,
ཁུག,ཁུགས,ཁུག,,TDC,PH,,
ཁེག,ཁེགས,ཁེག,,TDC,PH,,
ཁེང,ཁེངས,ཁེང,,TDC,,,KN
ཁེང,ཁེངས,ཁེང,ཁེངས,,PH,GT,
ཁེབས,ཁེབས,ཁེབས,,TDC,PH,,
ཁོམ,ཁོམ,ཁོམ,,TDC,PH,,
ཁྱག,ཁྱག,ཁྱག,ཁྱག,TDC,PH,,
ཁྱག,ཁྱགས,ཁྱག,ཁྱགས,TDC,PH,GT,
ཁྱབ,ཁྱབ,ཁྱབ,,TDC,,,
ཁྱབ,ཁྱབ,ཁྱབ,ཁྱབ,,PH,GT,KN
ཁྱུར,འཁྱུར༼ད༽,འཁྱུར,ཁྱུར༼ད༽,,,GT,
ཁྱོག,ཁྱོག,ཁྱོག,,TDC,PH,,
ཁྲེམས,ཁྲེམས,ཁྲེམས,,TDC,PH,,
ཁྲེལ,ཁྲེལ,ཁྲེལ,,TDC,PH,,
ཁྲོ,ཁྲོས,ཁྲོ,,TDC,PH,,
ཁྲོ,ཁྲོས,ཁྲོ,ཁྲོས,,,GT,KN
མཁས,མཁས,མཁས,,TDC,,,
མཁས,མཁས,མཁས,མཁས,,PH,GT,KN
མཁོ,མཁོ,མཁོ,,TDC,,,
མཁོ,མཁོ,མཁོ,མཁོ,,PH,GT,
མཁྱུད,མཁྱུད,མཁྱུད,མཁྱུད,TDC,PH,GT,KN
མཁྱེན,མཁྱེན༼ད༽,མཁྱེན,མཁྱེན༼ད༽,,,GT,
མཁྱེན,མཁྱེན,མཁྱེན,མཁྱེན,TDC,PH,,KN
འཁང,འཁངས,འཁང,,TDC,,,
འཁང,འཁངས,འཁང,འཁངས,,PH,GT,KN
འཁམ,འཁམས,འཁམ,འཁམས,,PH,GT,
འཁམས,འཁམས,འཁམས,,TDC,,,
འཁར,འཁར༼ད༽,འཁར,འཁར༼ད༽,,,GT,
འཁར,འཁར,འཁར,,TDC,,,
འཁར,འཁར,འཁར,འཁར,,PH,,
འཁལ,བཀལ,བཀལ,ཁོལ,,,,KN
འཁལ,བཀལ,བཀལ,འཁལ,,PH,,
འཁལ,བཀལ,བཀལ,འཁལ༼ད༽,,,GT,
འཁལ,བཀལ,བཀལ,འཁོལ,TDC,,,
འཁུ,འཁུ,འཁུ,,TDC,,,
འཁུ,འཁུ,འཁུ,འཁུ,,PH,GT,
འཁུ,འཁུས,འཁུ,འཁུ,,,,KN
འཁུགས,ཁུག,འཁུག,ཁུགས,,,GT,
འཁུན,ཁུན༼ད༽,ཁུན,འཁུན༼ད༽,,,GT,
འཁུན,འཁུན,འཁུན,,TDC,PH,,KN
འཁུམ,ཁུམས,ཁུམ,ཁུམས,,,GT,
འཁུམ,འཁུམས,འཁུམ,,TDC,,,
འཁུམ,འཁུམས,འཁུམ,འཁུམས,,PH,GT,
འཁུམས,འཁུམས,འཁུམས,འཁུམས,,,,KN
འཁུར,བཀུར༼ད༽,བཀུར,ཁུར༼ད༽,,,GT,
འཁུར,ཁུར,འཁུར,ཁུར,TDC,PH,,KN
འཁུལ,འཁུལ༼ད༽,འཁུལ,འཁུལ༼ད༽,,,GT,
འཁུལ,འཁུལ,འཁུལ,,TDC,,,
འཁུལ,འཁུལ,འཁུལ,འཁུལ,,PH,,
འཁུས,བཀུས,བཀུ,ཁུས,,,GT,
འཁེང,འཁེངས,འཁེང,,TDC,PH,,
འཁེབ,ཁེབས,འཁེབ,ཁེབས,,PH,,
འཁེབས,ཁེབ,འཁེབ,ཁེབས,,,GT,
འཁེལ༼ད༽,ཁེལ,འཁེལ,ཁེལ༼ད༽,,,GT,
འཁེལ,ཁེལ,འཁེལ,,TDC,,,
འཁེལ,ཁེལ,འཁེལ,ཁེལ,,PH,,
འཁོད,ཁོད,འཁོད,ཁོད,,,GT,
འཁོད,འཁོད,འཁོད,,TDC,,,
