ཀེར་བ་,ཀེར་བ་,ཀེར་བ,,TDC,,
ཀེར་བ་,ཀེར་བ་,ཀེར་བ,ཀེར་བ,PH,,
ཀེར་བ་,ཀེར༼ད༽་བ་,ཀེར་བ,ཀེར༼ད༽་བ,,,GT
ཀོང་བ་,བཀོངས་པ་,བཀོང་བ་,ཀོངས་,,,GT
ཀླུབ་པ་,བཀླུབས་པ་,བཀླུབ་པ་,ཀླུབས་པ་,TDC,PH,GT
ཀླུབ་པ་,ཀླུབས་པ་,ཀླུབ་པ་,ཀླུབས་པ་,,,GT
ཀློག་པ་,བཀླགས་པ་,བཀླག་པ་,ཀློགས་,TDC,PH,GT
དཀའ་བ,དཀའ་བ,དཀའ་བ,,TDC,PH,
དཀུ་བ་,དཀུ་བ་,དཀུ་བ་,,TDC,PH,
དཀྱུ་བ་,དཀྱུས་པ་,དཀྱུ་བ་,དཀྱུས,TDC,PH,GT
དཀྲི་བ་,དཀྲིས་པ་,དཀྲི་བ་,དཀྲིས་,TDC,PH,GT
དཀྲིག་པ་,དཀྲིགས་པ་,དཀྲིག་པ་,དཀྲིགས་,TDC,PH,GT
དཀྲུག་པ་,དཀྲུགས་པ་,དཀྲུག་པ་,དཀྲུགས་,TDC,PH,GT
དཀྲུམ་པ་,དཀྲུམས་པ་,དཀྲུམ་པ་,དཀྲུམས་,TDC,PH,GT
དཀྲོག་པ་,དཀྲོགས་པ་,དཀྲོག་པ་,དཀྲོགས་,TDC,PH,GT
དཀྲོལ་བ་,དཀྲོལ་བ་,དཀྲོལ་བ་,དཀྲོལ་,TDC,PH,
དཀྲོལ་བ་,དཀྲོལ༼ད༽་བ་,དཀྲོལ་བ་,དཀྲོལ༼ད༽་,,,GT
དཀྲོས་པ,བཀྲོས་པ,བཀྲོས་པ,དཀྲོས,,,GT
བཀན་པ་,བཀན་པ་,བཀན་པ་,བཀན་,TDC,PH,
བཀན་པ་,བཀན༼ད༽་པ་,བཀན་པ་,བཀན༼ད༽་,,,GT
བཀུ་བ་,བཀུས་པ་,བཀུ་བ་,བཀུས་,TDC,PH,
བཀུར་བ་,བཀུར་བ་,བཀུར་བ་,བཀུར་,TDC,PH,
བཀོང་བ་,བཀོང་བ་,བཀོང་བ་,བཀོང་,TDC,PH,
བཀོལ་བ་,བཀོལ་བ་,བཀོལ་བ་,ཁོལ་,TDC,PH,
བཀྱོན་པ་,བཀྱོན་པ་,བཀྱོན་པ་,བཀྱོན་,TDC,PH,
བཀྱོན་པ་,བཀྱོན༼ད༽་པ་,བཀྱོན་པ་,བཀྱོན༼ད༽་,,,GT
བཀྲབ་པ་,བཀྲབས་པ་,བཀྲབ་པ་,བཀྲོབས་,TDC,PH,
བཀྲམ་པ་,བཀྲམས་པ་,བཀྲམ་བ་,,TDC,,
བཀྲལ་བ་,བཀྲལ་བ་,བཀྲལ་བ་,བཀྲོལ་,TDC,PH,
བཀྲི་བ་,བཀྲིས་པ་,བཀྲི་བ་,བཀྲིས་,TDC,PH,
བཀྲེས་པ་,བཀྲེས་པ་,བཀྲེས་པ,,TDC,PH,
བཀྲེས་པ་,བཀྲེས་པ་,བཀྲེས་པ,བཀྲེས་,,,GT
རྐམ་པ་,བརྐམས་པ་,བརྐམ་པ་,རྐམས་,,,GT
རྐུ་བ་,བརྐུས་པ་,བརྐུ་བ་,རྐུས་,TDC,PH,GT
རྐོ་བ་,བརྐོས་པ་,བརྐོ་བ་,རྐོས་,TDC,PH,GT
རྐོན་པ་,བརྐོན༼ད༽་པ་,བརྐོན་པ་,རྐོན༼ད༽་,,,GT
རྐྱལ་བ་,རྐྱལ་བ་,རྐྱལ་བ་,རྐྱོལ་,TDC,PH,
རྐྱོང་བ་,བརྐྱངས་པ་,བརྐྱང་བ་,རྐྱོངས་,TDC,PH,GT
ལྐུག་པ་,ལྐུགས་པ་,ལྐུག་པ་,ལྐུགས,,PH,GT
ལྐུགས་པ་,ལྐུགས་པ་,ལྐུགས་པ་,,TDC,,
སྐམ་པ་,བསྐམས་པ་,བསྐམ་པ་,སྐམས་,,,GT
སྐུ་བ་༼སྐུད་པ་༽,བསྐུས་པ་,བསྐུ་བ་,སྐུས་,,,GT
སྐུག་པ་,བསྐུགས་པ་,བསྐུག་པ་,སྐུགས་,TDC,PH,
སྐུང་བ་,བསྐུངས་པ་,བསྐུང་བ་,སྐུངས་,TDC,PH,GT
སྐུད་པ་,བསྐུས་པ་,བསྐུ་བ་,སྐུས་,TDC,PH,
སྐུམ་པ་,བསྐུམས་པ་,བསྐུམ་པ་,སྐུམས་,TDC,PH,GT
སྐུར་བ་,བསྐུར་བ་,བསྐུར་བ་,སྐུར་,TDC,PH,
སྐུར་བ་,བསྐུར༼ད༽་བ་,བསྐུར་བ་,སྐུར༼ད༽་,,,GT
སྐུལ་བ་,བསྐུལ་བ་,བསྐུལ་བ་,སྐུལ་,TDC,PH,
སྐུལ་བ་,བསྐུལ༼ད༽་བ་,བསྐུལ་བ་,སྐུལ༼ད༽་,,,GT
སྐེམ་པ་,བསྐམས་པ་,བསྐམ་པ་,སྐོམས་,TDC,PH,
སྐེམ་པ་༼སྐམ་པ་༽,བསྐམས་པ་,བསྐམ་པ་,སྐེམས་༼སྐམས་༽,,,GT
སྐོ་བ་,བསྐོས་པ་,བསྐོ་བ་,སྐོས་,TDC,PH,GT
སྐོང་བ་,བསྐངས་པ་,བསྐང་བ་,སྐོངས་,TDC,PH,GT
སྐོང་བ་,བསྐོངས་པ་,བསྐོང་བ་,སྐོངས་,TDC,PH,
