ངར་བ་,ངར་བ་,ངར་བ་,,TDC,
ངལ་བ་,ངལ་བ་,ངལ་བ་,,TDC,
ངལ་བ་,ངལ་བ་,ངལ་བ་,ངལ་,,PH
ངུ་བ་,ངུས་པ་,ངུ་བ་,ངུས་,TDC,
ངུར་བ་,ངུར་བ་,ངུར་བ་,,TDC,
ངེར་བ་, ངེར་བ་,ངེར་བ་,,TDC,
ངེས་པ་,ངེས་པ་,ངེས་པ་,,TDC,
ངེས་པ་,ངེས་པ་,ངེས་པ་,ངེས་,,PH
ངོམ་པ་,ངོམས་པ་,ངོམ་པ་,ངོམས་,TDC,PH
ངོམས་པ་,ངོམས་པ་,ངོམས་པ་,,TDC,
དངངས་པ་,དངངས་པ་,དངངས་པ་,,TDC,
དངར་བ་,དངར་བ་,དངར་བ་,,TDC,
མངའ་བ་,མངའ་བ་,མངའ་བ་,,PH
མངག་པ་,མངགས་པ་,མངག་པ་,མངོགས་,TDC,
མངོན་པ་,མངོན་པ,མངོན་པ་,,TDC,
མངོན་པ་,མངོན་པ,མངོན་པ་,མངོན་,,PH
རྔ་བ་,བརྔས་པ་,བརྔ་བ་,རྔོས་,TDC,PH
རྔན་པ་,བརྔན་པ་,བརྔན་པ་,རྔོན་,TDC,
རྔབ་པ་,བརྔབས་པ་,བརྔབ་པ་,,TDC,
རྔམ་པ་,བརྔམས་པ་,བརྔམ་པ་,,TDC,
རྔམ་པ་,བརྔམས་པ་,བརྔམ་པ་,རྔམས་,,PH
རྔུབ་པ་,བརྔུབས་པ་,བརྔུབ་པ་,རྔུབས་,TDC,
རྔུལ་བ་,རྔུལ་བ་,རྔུལ་བ་,,TDC,
རྔོ་བ་,བརྔོས་པ་,བརྔོ་བ་,རྔོས་,TDC,
རྔོད་པ་,བརྔོས་པ་,བརྔོད་པ་,རྔོས་,TDC,
རྔོད་པ་,བརྔོད་པ་,བརྔོད་པ་,རྔོད་,TDC,
རྔོན་པ་,བརྔོན་པ་,བརྔོན་པ་,རྔོན་,TDC,
སྔལ་བ་,བསྔལ་བ་,བསྔལ་བ་,སྔལ་,,PH
སྔོ་བ་,བསྔོས་པ་,བསྔོ་བ་,སྔོས་,TDC,PH
སྔོ་བ་,བསྔོས་པ་,བསྔོ་བ་,,TDC,
སྔོག་པ་,བསྔོགས་པ་,བསྔོག་པ་,སྔོགས་,TDC,
བསྔགས་པ་,བསྔགས་པ་,བསྔགས་པ་,བསྔགས་,TDC,PH
