གཅི་བ་,གཅིས་པ་,གཅི་བ་,གཅིས་,TDC,
གཅིར་བ་,གཅིར་བ་,གཅིར་བ་,གཅིར་,TDC,
གཅུ་བ་,གཅུས་པ་,གཅུ་བ་,གཅུས་,TDC,
གཅུར་བ་,བཅུར་བ་,བཅུར་བ་,ཆིར་,TDC,
གཅེས་པ་,གཅེས་པ་,གཅེས་པ་,,TDC,PH
གཅོག་པ་,བཅག་པ་,གཅག་པ་,ཆོག་,TDC,PH
གཅོད་པ་,བཅད་པ་,གཅད་པ་,ཆོད་,TDC,PH
གཅོམ་པ་,བཅམས་པ་,བཅམ་པ་,གཅོམས་,TDC,
གཅོར་བ་,བཅར་བ་,གཅར་བ་,གཅོར་,TDC,
གཅོལ་བ་,གཅོལ་བ་,གཅོལ་བ་,གཅོལ་,TDC,
བཅེམ་པ་,བཅེམས་པ་,བཅེམ་པ་,བཅེམས་,TDC,
བཅེར་བ་,བཅེར་བ་,བཅེར་བ,,TDC,
ལྕིགས་པ་,ལྕིགས་པ་,ལྕིགས་པ་,,TDC,
ལྕེབ་པ་,ལྕེབས་པ་,ལྕེབ་པ་,ལྕེབས་,TDC,
ལྕོགས་པ་,ལྕོགས་པ་,ལྕོགས་པ་,,TDC,
