ཆ་བ་,ཆས་པ་,ཆ་བ་,ཆས་,,,GT
ཆག་པ་,ཆག་པ་,ཆག་པ་,,TDC,PH,
ཆགས་པ་,ཆགས་པ་,ཆགས་པ་,,TDC,,
ཆགས་པ་,ཆགས་པ་,ཆགས་པ་,ཆགས་,,PH,GT
ཆས་པ་,ཆས་པ་,ཆས་པ་,,TDC,PH,
ཆུག་པ་,ཆུགས་པ་,ཆུག་པ་,ཆུགས་,,PH,GT
ཆུད་པ་,ཆུད་པ་,ཆུད་པ་,,TDC,PH,
ཆུབ་པ་,ཆུབ་པ་,ཆུབ་པ་,,TDC,,
ཆེས་པ་,ཆེས་པ་,ཆེས་པ་,,TDC,,
ཆོག་པ་,ཆོག་པ་,ཆོག་པ་,,TDC,,
ཆོག་པ་,ཆོག་པ་,ཆོག་པ་,ཆོག་,,PH,GT
ཆོད་པ་,ཆོད་པ་,ཆོད་པ་,ཆོད་,,PH,GT
ཆོམ་པ་,ཆོམ་པ་,ཆོམ་པ་,,TDC,PH,
མཆི་བ་,མཆིས་པ་,མཆི་བ་,,TDC,PH,
མཆི་བ་,མཆིས་པ་,མཆི་བ་,མཆིས་,,,GT
མཆིས་པ་,མཆིས་པ་,མཆིས་པ་,མཆིས་,,PH,GT
མཆེད་པ་,མཆེད་པ་,མཆེད་པ་,,TDC,,
མཆེད་པ་,མཆེད་པ་,མཆེད་པ་,མཆེད་,,PH,GT
མཆོང་བ་,མཆོངས་པ,མཆོང་བ,མཆོངས་,TDC,,GT
མཆོད་པ་,མཆོད་པ་,མཆོད་པ་,མཆོད་,TDC,PH,GT
འཆག་པ་,བཅགས་པ་,གཅག་པ་,ཆོགས་,TDC,PH,
འཆག་པ་,བཅགས་པ་,བཅག་པ་,ཆོགས་,,,GT
འཆག་པ་,ཆག་པ་,འཆག་པ་,ཆག་,,,GT
འཆགས་པ་,བཤགས་པ་,བཤག་པ་,བཤོགས་,TDC,PH,
