ཐར་བ་,ཐར་བ་,ཐར་བ་,,TDC,,
ཐར་བ་,ཐར་བ་,ཐར་བ་,ཐར་,,PH,
ཐར་བ་,ཐར༼ད༽་བ་,ཐར་བ་,ཐར༼ད༽་,,,GT
ཐལ་བ་,ཐལ་བ་,ཐལ་བ་,,TDC,PH,
ཐིག་པ་,ཐིག་པ་,ཐིག་པ་,,TDC,,
ཐིང་བ་,ཐིངས་པ་,ཐིང་བ་,,TDC,,
ཐིམ་པ་,ཐིམ་པ་,ཐིམ་པ་,,TDC,PH,
ཐུག་པ་,ཐུག་པ་,ཐུག་པ་,,TDC,,
ཐུག་པ་,ཐུག་པ་,ཐུག་པ་,ཐུག་,,PH,GT
ཐུབ་པ་,ཐུབ་པ་,ཐུབ་པ་,,TDC,,
ཐུབ་པ་,ཐུབ་པ་,ཐུབ་པ་,ཐུབ་,,PH,GT
ཐུབ་པ་,བཏུབས་པ་,བཏུབ་པ་,ཐུབ་,,PH,
ཐུལ་བ་,ཐུལ་བ་,ཐུལ་བ་,,TDC,PH,
ཐེ་བ་,ཐེ་བ་,ཐེ་བ་,,TDC,,
ཐེག་པ་,ཐེག་པ་,ཐེག་པ་,,TDC,,
ཐེག་པ་,ཐེགས་པ་,ཐེག་པ་,ཐེགས་,,,GT
ཐེགས་པ་,ཐེགས་པ་,ཐེགས་པ་,,TDC,,
ཐེང་བ་,ཐེངས་པ་,ཐེང་བ་,,TDC,,
ཐེབས་པ་,ཐེབས་པ་,ཐེབས་པ་,,TDC,,
ཐོགས་པ་,ཐོགས་པ་,ཐོགས་པ་,ཐོགས་,TDC,PH,
ཐོགས་པ་,ཐོགས་པ་,ཐོགས་པ་,,TDC,PH,
ཐོང་བ་,ཐོང་བ་,ཐོང་བ་,,TDC,PH,
ཐོས་པ་,ཐོས་པ་,ཐོས་པ་,,TDC,,
ཐོས་པ་,ཐོས་པ་,ཐོས་པ་,ཐོས་,,PH,GT
མཐུད་པ་,མཐུད་པ་,མཐུད་པ་,མཐུད་,TDC,,GT
མཐུན་པ་,མཐུན་པ་,མཐུན་པ་,,TDC,,
མཐུན་པ་,མཐུན་པ་,མཐུན་པ་,མཐུན་,,PH,
མཐུན་པ་,མཐུན༼ད༽་པ་,མཐུན་པ་,མཐུན༼ད༽་,,,GT
མཐོང་བ་,མཐོང་བ་,མཐོང་བ་,,TDC,,
མཐོང་བ་,མཐོང་བ་,མཐོང་བ་,མཐོང་,,PH,GT
མཐོལ་བ་,མཐོལ་བ་,མཐོལ་བ་,,TDC,,
འཐག་པ་,བཏགས་པ་,བཏག་པ་,འཐོག་,TDC,,
འཐག་པ་,ཐག་པ་,འཐག་པ་,,TDC,PH,
འཐད་པ་,འཐད་པ་,འཐད་པ་,,TDC,,
འཐད་པ་,འཐད་པ་,འཐད་པ་,འཐད་,,PH,GT
འཐབ་པ་,འཐབས་པ་,འཐབ་པ་,འཐོབས་,TDC,PH,
འཐབ་པ་,འཐབས་པ་,འཐབ་པ་,འཐབས་,,,GT
འཐམ་པ་,འཐམས་པ་,འཐམ་པ་,འཐོམས་,TDC,,
འཐམས་པ་,ཐམས་པ་,འཐམ་པ་,ཐམས་,,,GT
འཐལ༼ད༽་བ་,ཐལ་བ་,འཐལ་བ་,ཐལ༼ད༽་,,,GT
འཐིགས་པ་,ཐིགས་པ་,འཐིག་པ་,ཐིགས་,,,GT
འཐིབས་པ་,འཐིབས་པ་,འཐིབས་པ་,,TDC,,
འཐིབས་པ་,ཐིབ་པ་,འཐིབ་པ་,ཐིབས་,,,GT
འཐིབས་པ་༼འཐིབ་པ་༽,འཐིབས་པ་,འཐིབས་པ་༼འཐིབ་པ་༽,,,PH,
འཐིམས་པ་,ཐིམ་པ་,འཐིམ་པ་,ཐིམས་,,,GT
འཐུ་བ་,བཏུས་པ་,བཏུ་བ་,ཐུས་,TDC,,
འཐུ་བ་,ཐུ་པ་,ཐུ་བ་,ཐུ་,,,GT
འཐུ་བ་,འཐུས་པ་,འཐུ་བ་,འཐུས་,TDC,,GT
འཐུང་བ་,བཏུངས་པ་,བཏུང་བ་,འཐུངས་,TDC,PH,
འཐུམ་པ་,ཐུམ་པ་,འཐུམ་པ་,ཐུམས་,,,GT
འཐུམས་པ་,འཐུམས་པ་,འཐུམས་པ་,,TDC,,
འཐུལ་བ་,འཐུལ་བ་,འཐུལ་བ་,,TDC,,
འཐུལ༼ད༽་བ་,ཐུལ་བ་,འཐུལ་བ་,ཐུལ༼ད༽་,,,GT
འཐུས་པ་,འཐུས་པ་,འཐུས་པ་,,TDC,,
འཐུས་པ་,འཐུས་པ་༼ཐུས་པ་༽,འཐུས་པ་,འཐུས་,,,GT
འཐེ་བ་,ཐེ་བ་,ཐེ་བ་,ཐེས་,,,GT
འཐེང་བ་,འཐེངས་བ་,འཐེང་བ་,,TDC,,
འཐེན་པ་,འཐེན་པ་,འཐེན་པ་,འཐེན་,TDC,,
འཐེན་པ་,ཐེན་པ་,ཐེན་པ་,འཐེན་,,PH,
འཐེན་པ་,ཐེན༼ད༽་པ་,ཐེན་པ་,འཐེན༼ད༽་,,,GT
འཐེབ་པ་,ཐེབས་པ་,ཐེབ་པ་,འཐེབས་,,,GT
འཐེབས་པ་,ཐེབས་པ་,འཐེབ་པ་,,,PH,
འཐེབས་པ་,ཐེབས་པ་,འཐེབས་པ་,,,PH,
འཐེམ་པ་,ཐེམས་པ་,འཐེམ་པ་,,TDC,,
འཐེམས་པ་,ཐེམ་པ་,འཐེམ་པ་,ཐེམས་,,,GT
འཐོག་པ་,བཏོགས་པ་,བཏོག་པ་,འཐོགས་,TDC,PH,
འཐོག་པ་,ཐོགས་པ་,འཐོག་པ་,ཐོགས་,,,GT
འཐོགས་པ་,ཐོགས་པ་,ཐོག་པ་,ཐོགས་,,,GT
འཐོན་པ་,ཐོན་པ་,འཐོན་པ་,ཐོན་,TDC,,
འཐོན༼ད༽་པ་,ཐོན་པ་,འཐོན་པ་,ཐོན༼ད༽་,,,GT
འཐོན་པ་,ཐོན་པ་,འཐོན་པ་,,TDC,PH,
འཐོབ་པ་,ཐོབ་པ་,འཐོབ་པ་,,TDC,,
འཐོབ་པ་,ཐོབ་པ་,ཐོབ་པ་,འཐོབས་,,,GT
འཐོབ་པ་,ཐོབ་པ་,འཐོབ་པ་,འཐོབས་,,PH,
འཐོམས་པ་,འཐོམས་པ་,འཐོམས་པ་,,TDC,,
འཐོམས་པ་,ཐོམ་པ་,འཐོམ་པ་,ཐོམས་,,,GT
འཐོར་བ་,འཐོར་བ་,འཐོར་བ་,,TDC,,
འཐོར་བ་,ཐོར་བ་,འཐོར་བ་,ཐོར༼ད༽་,,,GT
འཐོལ༼ད༽་བ་,ཐོལ་བ་,འཐོལ་བ་,ཐོལ༼ད༽་,,,GT
