དད་པ་,དད་པ་,དད་པ་,,TDC,,
དད་པ་,དད་པ་,དད་པ་,དད་,,PH,GT
དར་བ་,དར་བ་,དར་བ་,,TDC,,
དར་བ་,དར་བ་,དར་བ་,དར་,,PH,
དར་བ་,དར༼ད༽་བ་,དར་བ་,དར༼ད༽་,,,GT
དུང་བ་,དུངས་པ་,དུང་བ་,,TDC,,
དུད་པ་,དུད་པ་,དུད་པ་,,TDC,,
དུབ་པ་,དུབ་པ་,དུབ་པ་,,TDC,,
དུར་བ་,དུར༼ད༽་བ་,དུར་བ་,དུར༼ད༽་,,,GT
དུལ་བ་,དུལ༼ད༽་བ་,དུལ་བ་,དུལ༼ད༽་,,,GT
དོ་བ་,དོ་བ་,དོ་བ་,,TDC,,
དོགས་པ་,དོགས་པ་,དོགས་པ་,,TDC,PH,
དོད་པ་,་དོད་པ་,དོད་པ་,,TDC,,
དོད་པ་,་དོད་པ་,དོད་པ་,དོད་,,,GT
དོན་པ་,དོན༼ད༽་པ་,དོན་པ་,དོན༼ད༽་,,,GT
དྭངས་པ་,དྭངས་པ་,དྭངས་པ་,,TDC,,
དྭངས་པ་,དྭངས་པ་,དྭངས་པ་,དྭངས་,,,GT
དྭོགས་པ་,དྭོགས་པ་,དྭོགས་པ་,དྭོགས་,,,GT
དྲ་བ་,དྲས་པ་,དྲ་བ་,དྲས་,,,GT
དྲག་པ་,དྲག་པ་,དྲག་པ་,,TDC,PH,
དྲག་པ་,དྲག་པ་,དྲག་པ་,དྲག་,,,GT
དྲན་པ་,དྲན་པ་,དྲན་པ་,དྲན་,TDC,,
དྲན་པ་,དྲན༼ད༽་པ་,དྲན་པ་,དྲན༼ད༽་,,,GT
དྲུབ་པ་,དྲུབས་པ་,དྲུབ་པ་,དྲུབས་,TDC,,
དྲེགས་པ་,དྲེགས་པ་,དྲེགས་པ་,,TDC,,
དྲེགས་པ་,དྲེགས་པ་,དྲེགས་པ་,དྲེགས་,,,GT
དྲོ་བ་,དྲོས་པ་,དྲོ་བ་,,TDC,,
གདང་བ་,གདངས་པ་,གདང་བ་,གདོངས་,TDC,,
གདང་བ་,གདངས་པ་,གདང་བ་,གདངས་,,,GT
གདལ་བ་,གདལ་བ་,གདལ་བ་,,TDC,,
གདལ་བ་,གདལ༼ད༽་བ་,བདལ་བ་,གདལ༼ད༽་,,,GT
གདས་པ་,གདས་པ་,གདས་པ་,གདས་,TDC,,
གདུ་བ་,གདུས་པ་,གདུ་བ་,གདུས་,TDC,,
གདུང་བ་,གདུངས་པ་,གདུང་བ་,,TDC,,
གདུང་བ་,གདུངས་པ་,གདུང་བ་,གདུངས་,,PH,GT
གདེང་བ་,གདེངས་པ་,གདེང་བ་,གདེངས་,TDC,,GT
བདག་པ་,བདག་པ་,བདག་པ་,,TDC,,
བདག་པ་,བདག་པ་,བདག་པ་,བདག་,,,GT
བདར་བ་,བདར་བ་,བདར་བ་,བདོར་,TDC,,
བདར་བ་,བདར༼ད༽་བ་,བདར་བ་,བདར༼ད༽་,,,GT
བདལ་བ་,བདལ་བ་,བདལ་བ་,བདོལ་,TDC,,
བདུག་པ་,བདུགས་པ་,བདུག་པ་,བདུགས་,TDC,,GT
བདུང་བ་,བདུངས་པ་,བདུང་བ་,བདུངས་,TDC,,
བདོ་བ་,བདོ་བ་,བདོ་བ་,,TDC,,
བདོ་བ་,བདོ་བ་,བདོ་བ་,བདོ་,,,GT
མདུད་པ་,མདུད་པ་,མདུད་པ་,མདུད་,TDC,PH,
འདག་པ་,དག་པ་,འདག་པ་,,TDC,PH,
འདག་པ་,དག་པ་,འདག་པ་,འདག་༼འདགས་༽,,,GT
འདང་བ་,འདངས་པ་,འདང་བ་,,TDC,,
འདམ་པ་,བདམས་པ་,བདམ་པ་,འདོམས་,TDC,,
འདམ་པ་,བཏམ་པ་,གཏམ་པ་,ཐོམ་,TDC,,
འདའ་བ་,འདས་པ་,འདའ་བ་,,TDC,PH,
འདར་བ་,འདར་བ་,འདར་བ་,,TDC,,
འདར་བ་,འདར༼ད༽་བ་,འདར་བ་,འདར་,,,GT
འདལ་བ་,འདལ་བ་,འདལ་བ་,,TDC,,
འདལ༼ད༽་བ་,དལ་བ་,འདལ་བ་,དལ༼ད༽་,,,GT
འདལ་བ་,དལ༼ད༽་བ་,འདལ་བ་,འདོལ༼ད༽་༼འདོལ་༽,,,GT
འདིང་བ་,བཏིང་བ་,གདིང་བ་,ཐིང་,TDC,PH,
འདིང་བ་༼འདིངས་པ་༽,བཏིང་བ་,གདིང་བ་,ཐིངས་,,,GT
འདུ་བ་,འདུས་པ་,འདུ་བ་,འདུས་,TDC,PH,
འདུག་པ་,འདུག་པ་,འདུག་པ་,,TDC,PH,
འདུང་བ་༼བདུང་བ་༽,བདུངས་པ་,བདུང་བ་,བདུངས་,,,GT
འདུད་པ་,བཏུད་པ་,གདུད་པ་,ཐུད་,TDC,PH,
འདུད་པ་,བཏུད་པ་,བཏུད་པ་,འདུད་,,,GT
འདུད་པ་,དུད་པ་,འདུད་པ་,དུད་,,,GT
འདུད་པ་,འདུས་པ་,འདུ་པ་,འདུས་,,,GT
འདུན་པ་,འདུན་པ་,འདུན་པ་,,TDC,,
