ཕན་པ་,ཕན་པ་,ཕན་པ་,,TDC,PH,
ཕན་པ་,ཕན༼ད༽་པ་,ཕན་པ་,ཕན༼ད༽་,,,GT
ཕིགས་པ་,ཕིགས་པ་,ཕིགས་པ་,,TDC,,
ཕུད་པ་,ཕུད་པ་,ཕུད་པ་,ཕུད་,TDC,,
ཕུད་པ་,ཕུད་པ་,ཕུད་པ་,,,PH,
ཕེད་པ་,ཕེད་པ་,ཕེད་པ་,ཕེད་,TDC,PH,GT
ཕེབས་པ་,ཕེབས་པ་,ཕེབས་པ་,ཕེབས་,TDC,,GT
ཕོག་པ་,ཕོག་པ་,ཕོག་པ་,,TDC,PH,
ཕོང་བ་,ཕོངས་པ་,ཕོང་བ་,,TDC,PH,
ཕྱུག་པ་,ཕྱུག་པ་,ཕྱུག་པ་,,TDC,,
ཕྱུག་པ་,ཕྱུག་པ་,ཕྱུག་པ་,ཕྱུག་,,,GT
ཕྱེད་པ་,ཕྱེད་པ་,ཕྱེད་པ་,,TDC,PH,
ཕྱོ་བ་,ཕྱོ་བ་,ཕྱོ་བ་,ཕྱོ་,,,GT
ཕྱོགས་པ་,ཕྱོགས་པ་,ཕྱོགས་པ་,,TDC,PH,
ཕྱོགས་པ་,ཕྱོགས་པ་,ཕྱོགས་པ་,ཕྱོགས་,,,GT
ཕྲལ་བ་,ཕྲལ་བ་,ཕྲལ་བ་,ཕྲོལ་,TDC,PH,
ཕྲུལ་པ་,ཕྲུལ་པ་,ཕྲུལ་པ་,,TDC,,
འཕག་པ་,འཕགས་པ་,འཕག་པ་,འཕོགས་,TDC,,
འཕག་པ་,འཕགས་པ་,འཕག་པ་,འཕགས་,,,GT
འཕགས་པ་,འཕགས་པ་,འཕགས་པ་,,TDC,,
འཕང་བ་,ཕངས་པ་,ཕང་བ་,ཕངས་,,,GT
འཕམ་པ་,ཕམ་པ་,འཕམ་པ,,TDC,,
འཕམ་པ་,ཕམ་པ་,འཕམ་པ,ཕམས་,,PH,GT
འཕར་བ་,འཕར་བ་,འཕར་བ་,,TDC,,
འཕར་བ་,འཕར༼ད༽་བ་,འཕར་བ་,འཕར༼ད༽་,,,GT
འཕར༼ད༽་བ་,ཕར་བ་,འཕར་བ་,ཕར༼ད༽་,,,GT
འཕིབས་པ་,ཕིབ་པ་,དབིབ་པ་,ཕིབས་,,,GT
འཕིར༼ད༽་བ་,ཕིར་བ་,འཕིར་བ་,ཕིར༼ད༽་,,,GT
འཕུང་བ་,ཕུང་བ་,འཕུང་བ་,,TDC,PH,
འཕུངས་བ་,ཕུང་བ་,འཕུང་བ་,ཕུངས་,,,GT
འཕུར་བ་,ཕུར་བ་,འཕུར་བ་,ཕུར་,TDC,PH,
འཕུར་བ་,འཕུར་བ་,འཕུར་བ་,,TDC,PH,
འཕུར་བ་,ཕུར་བ་,དབུར་བ་,ཕུར༼ད༽་,,,GT
འཕུར་བ་,འཕུར༼ད༽་བ་,འཕུར་བ་,འཕུར༼ད༽་,,,GT
