བང་བ་,བངས་བ་,བང་བ་,,TDC,,
བད་པ་,བད་པ་,བད་པ་,,TDC,,
བམ་པ་,བམ་པ་,བམ་པ་,,TDC,,
བམ་པ་,བམས་པ་,བམ་པ་,བམས་,,,GT
བུད་པ་,བུད་པ་,བུད་པ་,,TDC,PH,
བྱར་བ་,བུར༼ད༽་བ་,བུར་བ་,བུར༼ད༽་,,,GT
བྱལ་བ་,བུལ༼ད༽་བ་,བུལ་བ་,བུལ༼ད༽་,,,GT
བོར་བ་,བོར་བ་,བོར་བ་,,TDC,,
བྱབ་པ་,བྱབས་པ་,བྱབ་པ་,བྱོབས་,TDC,,
བྱམས་པ་,བྱམས་པ་,བྱམས་པ་,,TDC,,
བྱི་བ་,བྱི་བ་,བྱི་བ་,,TDC,,
བྱེད་པ་,བྱས་པ་,བྱ་བ་,བྱོས་,TDC,PH,
བྱེད་པ་,བྱས་པ་,བྱ་བ་,བྱེད་,,,GT
བྲན་པ་,བྲན་པ་,བྲན་པ་,བྲོན་,TDC,,
བྲན་པ་,བྲན༼ད༽་པ་,བྲན་པ་,བྲན༼ད༽་,,,GT
བྲིན་པ་,བྲིན་པ་,བྲིན་པ་,,TDC,,
བྲིན་པ་,བྲིན༼ད༽་པ་,བྲིན་པ་,བྲིན༼ད༽་,,,GT
བྲུག་པ་,བྲུག་པ་,བྲུག་པ་,,TDC,,
བྲུག་པ་,བྲུགས་པ་,བྲུག་པ་,བྲུགས་,,,GT
བྲེ་བ་,བྲེས་བ་,བྲེ་བ་,བྲེས་,TDC,PH,
བྲེད་པ་,བྲེད་པ་,བྲེད་པ་,,TDC,,
བྲེལ་བ་,བྲེལ་བ་,བྲེལ་བ་,,TDC,,
བྲེལ་བ་,བྲེལ༼ད༽་བ་,བྲེལ་བ་,བྲེལ༼ད༽་,,,GT
བྲོ་བ་,བྲོ་བ་,བྲོ་བ་,,TDC,,
བྲོ་བ་,བྲོ་བ་,བྲོ་བ་,བྲོ་,,PH,GT
བླག་པ་,བླགས་པ་,བླག་པ་,བློགས་,TDC,,
བླག་པ་,བླགས་པ་,བླག་པ་,བླགས་,,,GT
བླད་པ་,བླད་པ་,བླད་པ་,བློད་,TDC,,
བླད་པ་,བླད་པ་,བླད་པ་,བླད་,,,GT
བླུ་བ་,བླུས་པ་,བླུ་བ་,བླུས་,TDC,,GT
བླུག་པ་,་བླུགས་པ་,བླུག་པ་,བླུགས་,TDC,,GT
བླུད་པ་,བླུད་པ་,བླུད་པ་,བླུད་,TDC,,GT
བློང་བ་,བློངས་པ་,བློང་བ་,བློངས་,,,GT
དབང་བ་,དབང་བ་,དབང་བ་,,TDC,,
དབང་བ་,དབང་བ་,དབང་བ་,དབང་,,PH,GT
དབུར་བ་,དབུར་བ་,དབུར་བ་,དབུར་,TDC,,
དབུལ་བ་,དབུལ་བ་,དབུལ་བ ,,TDC,PH,
དབེན་པ་,དབེན་པ་,དབེན་པ་,,TDC,PH,
དབེན་པ་,དབེན༼ད༽་པ་,དབེན་པ་,དབེན༼ད༽་,,,GT
དབོལ་བ་,དབོལ༼ད༽་བ་,དབོལ་བ་,དབོལ༼ད༽་,,,GT
དབྱུག་པ་,དབྱུགས་པ་,དབྱུག་པ་,དབྱུགས་,TDC,,GT
དབྲོལ་བ་,དབྲལ་བ་,དབྲལ་བ་,དབྲོལ་,TDC,,
འབག་པ་,འབགས་པ་,འབག་པ་,,TDC,,
འབག་པ་,འབགས་པ་,འབག་པ་,འབགས་,,,GT
འབང་བ་,བངས་པ་,འབང་བ་,,TDC,,
འབང་བ་,བངས་པ་,འབང་བ་,འབོངས་,,,GT
འབད་པ་,འབད་པ་,འབད་པ་,འབོད་,TDC,PH,
འབད་པ་,འབད་པ་,འབད་པ་,འབད་,,,GT
འབབ་པ་,བབ་པ་,འབབ་པ་,,TDC,PH,
འབབ་པ་,བབ་པ་,འབབ་པ་,བོབ་,TDC,,
འབབ་པ་,འབབས་པ་༼བབས་པ་༽,འབབ་པ་,བོབ་,,PH,
འབབས་པ་,བབ་པ་,འབབ་པ་,བབས་,,,GT
འབའ་བ་,འབའ་བ་,འབའ་བ་,,TDC,,
འབར་བ་,འབར་བ་,འབར་བ་,,TDC,,
འབར་བ་,འབར་བ་,འབར་བ་,འབར་,,PH,
འབར་བ་,འབར༼ད༽་བ་,འབར་བ་,འབར༼ད༽་,,,GT
འབལ་བ་,འབལ༼ད༽་བ་,འབལ་བ་,འབོལ༼ད༽་,TDC,
འབལ་བ་,འབལ་བ་,འབལ་བ་,འབལ་,,,GT
འབིག་པ་,བིག་པ་,འབིག་པ་,བིགས་,,,GT
འབིགས་པ་,ཕུག་པ་,དབུག་པ་,ཕུག་,TDC,PH,
འབིགས་པ་,ཕིག་པ་,དབིག་པ་,ཕིགས་,,,GT
འབུ་བ་,འབུས་པ་,འབུ་བ་,འབུས་,,,GT
འབུག་པ་,བུག་པ་,འབུག་པ་,བུགས་པ་,,,GT
འབུགས་པ་,ཕུག་པ་,དབུག་པ་,ཕུགས་,,,GT
འབུང་བ་,འབུངས་པ་,འབུང་བ་,འབུངས་,TDC,,GT
འབུད་པ་,བུད་པ་,འབུད་པ་,བུད་,TDC,,GT
འབུད་པ་,ཕུད་པ་,དབུད་པ་,འཕུད་,,PH,GT
འབུད་པ་,བུས་པ་,འབུད་པ་,བུས་,TDC,PH,
འབུད་པ་,ཕུས་པ་,ཕུ་པ་,འཕུས་,,,GT
འབུབ་པ་,བུབ་པ་,འབུབ་པ་,བུབས་,,,GT
འབུབས་པ་,ཕུབ་པ་,དབུབ་པ་,ཕུབ་,TDC,,
འབུབས་པ་,ཕུབ་པ་,དབུབ་པ་,ཕུབས་,,,GT
འབུར་བ་,འབུར་བ་,འབུར་བ་,,TDC,,
འབུར་བ་,འབུར༼ད༽་བ་,འབུར་བ་,འབུར༼ད༽་,,,GT
འབུལ་བ་,ཕུལ་བ་,དབུལ་བ་,ཕུལ་,TDC,,
འབུལ་བ་,ཕུལ་བ་,དབུལ་བ་,འབུལ༼ད༽་,,,GT
འབུས་པ་,འབུས་པ་,འབུས་པ་,,TDC,,
འབེབས་པ་,ཕབ་པ་,དབབ་པ་,ཕོབ་,TDC,PH,
འབོ་བ་,ཕོ་པ་,དབོ་བ་,ཕོས་,,,GT
འབོ་བ་,ཕོས་པ་,དབོ་བ་,ཕོས་,TDC,,
འབོ་བ་,བོ་བ་,འབོ་བ་,བོ་,TDC,,GT
