མལ་བ་,མལ༼ད༽་བ་,མལ་བ་,མལ༼ད༽་,,,GT
མིད་པ་,མིད་པ་,མིད་པ་,མིད་,TDC,,
མིད་པ་,མིད་པ་,མིད་པ་,མེད་,,,GT
མིན་པ་,མིན་པ་,མིན་པ་,,,PH,
མིན་པ་,མིན༼ད༽་པ་,མིན་པ་,མིན༼ད༽་,,,GT
མུར་བ་,མུར་བ་,མུར་བ་,མུར་,TDC,,
མུལ་བ་,མུལ༼ད༽་བ་,མུལ་བ་,མུལ༼ད༽་,TDC,
མེད་པ་,མེད་པ་,མེད་པ་,,,PH,
མེད་པ་,མེད་པ་,མེད་པ་,མེད་,,,GT
མེར་བ་,མེར་བ་,མེར་བ་,,TDC,,
མེར་བ་,མེར༼ད༽་བ་,མེར་བ་,མེར༼ད༽་,,GT
མོག་པ་,མོགས་པ་,མོག་པ་,མོགས་,,,GT
མོལ་བ་,མོལ་བ་,མོལ་བ་,མོལ་,TDC,,
མོལ་བ་,མོལ༼ད༽་བ་,མོལ་བ་,མོལ༼ད༽་,,,GT
མོས་པ་,མོས་པ་,མོས་པ་,,TDC,,
མོས་པ་,མོས་པ་,མོས་,མོས་,,PH,GT
མྱག་པ་,མྱགས་པ་,མྱག་པ་,,TDC,,
མྱག་པ་,མྱགས་པ་,མྱག་པ་,མྱགས་,,,GT
མྱིད་པ་,མྱིད་པ་,མྱིད་པ་,མྱིད་,,,GT
མྱུག་པ་,མྱུགས་པ་,མྱུག་པ་,མྱུགས,TDC,,
མྱུལ་བ་,མྱུལ་བ་,མྱུལ་བ་,མྱུལ་,TDC,,
མྱུལ་བ་,མྱུལ་བ་,མྱུལ་བ་,,TDC,,
མྱོང་བ,མྱངས་པ་,མྱང་བ་,མྱོངས་,TDC,PH,GT
མྱོང་བ་,མྱོང་བ་,མྱོང་བ་,,TDC,,
མྱོས་པ་,མྱོས་པ་,མྱོས་པ་,,TDC,,
མྱོས་པ་,མྱོས་པ་,མྱོས་པ་,མྱོས་,,,GT
དམན་པ་,དམན་པ་,དམན་པ་,,TDC,PH,
དམའ་པ་,དམས་པ་,དམའ་པ་,དམས་,,,GT
དམས་པ་,དམས་པ་,དམས་པ་,,TDC,,
དམིགས་པ་,དམིགས་པ་,དམིགས་པ་,དམིགས་,TDC,PH,GT
དམིགས་པ་,དམིགས་པ་,དམིགས་པ་,,TDC,,
དམུར་བ་,མུར༼ད༽་བ་,མུར་བ་,དམུར༼ད༽་,,,GT
དམུལ་བ་,དམུལ་བ་,དམུལ་བ་,དམུལ་,TDC,PH,
དམུལ་བ་,དམུལ༼ད༽་བ་,དམུལ་བ་,དམུལ༼ད༽་,,,GT
དམུས་པ་,དམུས་པ་,དམུས་པ་,,TDC,,
