ཞ་བ་,ཞ་བ་,ཞ་བ་
ཞར་བ་,ཞར་བ་,ཞར་བ་
ཞི་བ་,ཞི་བ་,ཞི་བ་
ཞུ་བ་,ཞུས་པ་,ཞུ་བ་,ཞུས་
ཞུ་བ་,ཞུ་བ་,ཞུ་བ་
ཞུད་པ་,ཞུད་པ་,ཞུད་པ་
ཞུམ་པ་,ཞུམ་པ་,ཞུམ་པ་
ཞེད་པ་,ཞེད་པ་,ཞེད་པ་,
ཞེན་པ་,ཞེན་པ་,ཞེན་པ་
ཞོན་པ་,བཞོན་པ་,བཞོན་པ་,ཞོན་
ཞོམ་པ་,ཞོམ་པ་,ཞོམ་པ་
གཞར་བ་,བཞར་བ་,གཞར་བ་,གཞོར་
གཞིག་པ་,གཞིགས་པ་,གཞིག་པ་,གཞིགས་
གཞུ་བ་,གཞུས་པ་,གཞུ་བ་,གཞུས་
གཞུར་བ་,གཞུར་བ་,གཞུར་བ་,གཞུར་
གཞོབ་པ་,གཞོབ་པ་,གཞོབ་པ་
གཞོལ་བ་,གཞོལ་བ་,གཞོལ་བ་, གཞོལ་
གཞོལ་བ་,གཞོལ་བ་,གཞོལ་བ་
བཞད་པ་,བཞད་པ་,བཞད་པ་,བཞོད་
བཞར་བ་,བཞར་བ་,བཞར་བ་,བཞོར་
བཞུད་པ་,བཞུད་པ་,བཞུད་པ་,བཞུད་
བཞུར་བ་,བཞུར་བ་,བཞུར་བ་,བཞུར་
བཞེངས་པ་,བཞེངས་པ་,བཞེངས་པ་,བཞེངས་
བཞེངས་པ་,བཞེངས་པ་,བཞེངས་པ་,བཞེངས་
བཞེད་པ་,བཞེད་པ་,བཞེད་པ་,བཞེད་པ་
