ཟ་བ་,བཟས་པ་,བཟའ་བ་,ཟོ་,TDC,,
ཟ་བ་,བཟས་པ་༼བཟས་པ་༽,བཟའ་བ་,ཟོ་,,PH,
ཟ་བ་,ཟ་བ་,ཟ་བ་,,TDC,PH,
ཟ་བ་,ཟ་བ་,ཟ་བ་,ཟ་,,,GT
ཟ་བ་,བཟས་པ་,ཟ་བ་,,TDC,PH,
ཟ་བ་,བཟས་པ་,བཟའ་བ་,ཟོས་,,,GT
ཟག་པ་,ཟགས་པ་,ཟག་པ་,,TDC,PH,
ཟན་པ་,བཟན༼ད༽་པ་,བཟན་པ་,ཟན༼ད༽་,,,GT
ཟིང་བ་,ཟིང་བ་,ཟིང་བ་,,TDC,,
ཟིན་པ་,ཟིན་པ་,ཟིན་པ་,,TDC,PH,
ཟིན་པ་,ཟིན༼ད༽་པ་,ཟིན་པ་,ཟིན་,,,GT
ཟུག་པ་,ཟུག་པ་,ཟུག་པ་,,TDC,,
ཟུབ་པ་,ཟུབ་པ་,ཟུབ་པ་,,TDC,,
ཟུབ་པ་,ཟུབས་པ་,ཟུབ་པ་,ཟུབས་,,,GT
ཟུམ་པ་,ཟུམ་པ་,ཟུམ་པ་,,TDC,PH,
ཟེར་བ་,ཟེར་བ་,ཟེར་བ་,,TDC,PH,
ཟེར༼ད༽་བ་༼མཛེར༼ད༽་བ་༽,ཟེར་བ་༼འཛེར་བ་༽,ཟེར་བ་༼མཛེར་བ་༽,ཛེར༼ད༽་༼འཛེར༼ད༽་བ་༽,,,GT
ཟོན་པ་,ཟོན༼ད༽་པ་,ཟོན་པ་,ཟོན༼ད༽་,,,GT
ཟླུག་པ་,བཟླུགས་པ་,བཟླུག་པ་,ཟླུགས་,TDC,,GT
ཟླུམ་པ་,བཟླུམས་པ་,བཟླུམ་པ་,ཟླུམས་,TDC,,GT
ཟློ་བ་,བཟླས་པ་,བཟླ་བ་,ཟློས་,TDC,PH,
ཟློ་བ་,བཟླས་པ་,བཟླ་བ་,ཟློ་,,,GT
ཟློག་པ་,བཟློག་པ་,བཟློག་པ་,ཟློག་,TDC,PH,
ཟློག་པ་,བཟློགས་པ་,བཟློག་པ་,ཟློགས་,,,GT
ཟློས་པ་,ཟློས་པ་,ཟློས་པ་,,TDC,,
ཟློས་པ་,བཟློས་པ་,བཟློ་པ་,ཟློས་,,,GT
གཟགས་པ་,གཟགས་པ་,གཟགས་པ་,གཟོགས་,TDC,,
གཟན༼ད༽་པ་,གཟན་པ་,གཟན་པ་,གཟན༼ད༽་,,,GT
གཟབ་པ་,བཟབས་པ་,གཟབ་པ་,གཟོབས་,TDC,,
གཟར་བ་,གཟར་བ་,གཟར་བ་,གཟར་,TDC,PH,
གཟས་པ་,གཟས་པ་,གཟས་པ་,གཟས་,TDC,PH,GT
གཟིགས་པ་,གཟིགས་པ་,གཟིགས་པ་,གཟིགས་,TDC,PH,GT
གཟིང་བ་,གཟིངས་པ་,གཟིང་བ་,,TDC,,
གཟིང་བ་,བཟིངས་པ་,བཟིང་བ་,གཟིངས་,,,GT
གཟིམས་པ་,གཟིམས་པ་,གཟིམས་པ་,གཟིམས་,TDC,,
གཟིམ་པ་,གཟིམས་པ་,གཟིམས་པ་,གཟིམས་,,,GT
གཟིར་བ་,གཟིར་བ་,གཟིར་བ་,གཟིར་,TDC,PH,
གཟིར་བ་,བཟིར༼ད༽་བ་,བཟིར་བ་,གཟིར༼ད༽་,,,GT
གཟེངས་པ་,གཟེངས་པ་,གཟེངས་པ་,གཟེངས་,TDC,,
གཟེད་པ་,གཟེད་པ་,གཟེད་པ་,གཟེད་,TDC,,
གཟོ་བ་,གཟོ་བ་,གཟོ་བ་,གཟོ་,TDC,PH,
གཟོན་པ་,གཟན་པ་,གཟན་པ་,གཟོན་,TDC,,
གཟོབ་པ་,གཟབས་པ་,གཟབ་པ་,གཟོབས་,TDC,,
གཟོབ་པ་,བཟབ་པ་,གཟབ་པ་,གཟབས་,,,GT
བཟི་བ་,བཟི་བ་,བཟི་བ་,,TDC,,
བཟི་བ་,བཟི་བ་,བཟི་བ་,བཟི་,,,GT
བཟོ་བ་,བཟོས་བ་,བཟོ་བ་,བཟོས་,TDC,PH,
བཟོད་པ་,བཟོད་པ་,བཟོད་པ་,,TDC,PH,
བཟོད་པ་,བཟོད་པ་,བཟོད་པ་,བཟོད་,,,GT
