ཡན་པ་,ཡན་པ་,ཡན་པ་,,TDC,,
ཡར་བ་,ཡར་བ་,ཡར་བ་,,TDC,PH,
ཡར་བ་,ཡར༼ད༽་བ་,ཡར་བ་,ཡར༼ད༽་,,,GT
ཡལ་བ་,ཡལ་བ་,ཡལ་བ་,,TDC,PH,
ཡལ་བ་,ཡལ༼ད༽་བ་,ཡལ་བ་,ཡལ༼ད༽་,TDC,,
ཡས་པ་,ཡས་པ་,ཡས་པ་,ཡས་,,,GT
ཡིན་པ་,ཡིན་པ་,ཡིན་པ་,ཡིན,,PH,
ཡིན་པ་,ཡིན༼ད༽་པ་,ཡིན་པ་,ཡིན༼ད༽་,,,GT
ཡིབ་པ་,ཡིབས་པ་,ཡིབ་པ་,ཡིབས,TDC,,GT
ཡུམ་པ་,ཡུམས་པ་,ཡུམ་པ་,ཡུམས་,,,GT
ཡུར་བ་,ཡུར་བ་,ཡུར་བ་,,TDC,,
ཡུར་བ་,ཡུར༼ད༽་བ་,ཡུར་བ་,ཡུར༼ད༽་,,,GT
ཡེང་བ་,ཡེངས་པ་,ཡེང་བ་,,TDC,,
ཡེང་བ་,ཡེངས་པ་,ཡེང་བ་,ཡེངས་,,PH,GT
ཡེར་བ་,ཡེར་བ་,ཡེར་བ་,ཡེར་,TDC,,
ཡེར་བ་,ཡེར་བ་,ཡེར་བ་,,TDC,,
ཡེར་བ་,ཡེར༼ད༽་བ་,ཡེར་བ་,ཡེར༼ད༽་,,,GT
ཡོ་བ་,ཡོ་བ་,ཡོ་བ་,,TDC,,
ཡོ་བ་,ཡོ་བ་,ཡོ་བ་,ཡོ་,,,GT
ཡོག་པ་,ཡོགས་པ་,ཡོག་པ་,ཡོགས་,TDC,,
ཡོང་བ་,ཡོང་བ་,ཡོང་བ་,,TDC,,
ཡོང་བ་,ཡོང་བ་,ཡོང་བ་,ཡོང་,,,GT
ཡོད་པ་,ཡོད་པ་,ཡོད་པ་,ཡོད་,,PH,GT
ཡོབ་པ་,ཡབས་པ་,ཡབ་པ་,ཡོབས་,,,GT
ཡོམ་པ་,ཡོམས་པ་,ཡོམ་པ་,ཡོམས་,,,GT
ཡོར་བ་,ཡོར་བ་,ཡོར་བ་,,TDC,,
ཡོལ་བ་,ཡོལ་བ་,ཡོལ་བ་,,TDC,,
ཡོལ་བ་,ཡོལ༼ད༽་བ་,ཡོལ་བ་,ཡོད༼ད༽་,,,GT
གཡན་པ་,གཡན༼ད༽་པ་,གཡན་པ་,གཡན༼ད༽་,,,GT
གཡའ་བ་,གཡའ་བ་,གཡའ་བ་,,TDC,,
གཡའ་བ་,གཡའ་བ་,གཡའ་བ་,གཡའ་,,,GT
གཡར་བ་,གཡར་བ་,གཡར་བ་,གཡོར་,TDC,,
གཡར་བ་,གཡར༼ད༽་བ་,གཡར་བ་,གཡོར༼ད༽་,,,GT
གཡལ་བ་,གཡལ་བ་,གཡལ་བ་,,TDC,,
གཡལ་བ་,གཡལ༼ད༽་བ་,གཡལ་བ་,གཡལ༼ད༽་,,,GT
གཡིག་པ་,གཡིགས་པ་,གཡིག་པ་,,TDC,,
གཡིག་པ་,གཡིགས་པ་,གཡིག་པ་,གཡིགས་,,,GT
གཡུག་པ་,གཡུགས་པ་,གཡུག་པ་,གཡུགས་,TDC,,GT
གཡུང་བ་,གཡུངས་པ་,གཡུང་བ་,གཡུངས་,,,GT
གཡེང་བ་,གཡེངས་པ་,གཡེང་བ་,,TDC,PH,
གཡེང་བ་,གཡེངས་པ་,གཡེང་བ་,གཡེངས་,,,GT
གཡེམ་པ་,གཡེམས་པ་,གཡེམ་པ་,གཡེམས་,,,GT
གཡེར་བ་,གཡེར༼ད༽་བ་,གཡེར་བ་,གཡེར༼ད༽་,,,GT
གཡེལ་བ་,གཡེལ་བ་,གཡེལ་བ་,,TDC,PH,
གཡེལ་བ་,གཡེལ༼ད༽་བ་,གཡེལ་བ་,གཡེལ༼ད༽་,,,GT
གཡོ་བ་,གཡོས་པ་,གཡོ་བ་,,TDC,PH,
གཡོ་བ་,གཡོས་པ་,གཡོ་བ་,གཡོས་,TDC,PH,GT
གཡོག་པ་,གཡོགས་པ་,གཡོག་པ་,གཡོགས་,TDC,PH,GT
གཡོབ་པ་,གཡབས་པ་,གཡབ་པ་,གཡོབས་,TDC,,GT
གཡོར་བ་,གཡོར་བ་,གཡོར་བ་,གཡོར་,TDC,,
གཡོར་བ་,གཡོར༼ད༽་བ་,གཡོར་བ་,གཡོར༼ད༽་,,,GT
གཡོལ་བ་,གཡོལ་བ་,གཡོལ་བ་,གཡོལ་,TDC,,
གཡོལ་བ་,གཡོལ༼ད༽་བ་,གཡོལ་བ་,གཡོལ༼ད༽་,,,GT
