ཤད་པ་,བཤད་པ་,བཤད་པ་,ཤོད་,TDC,
ཤབ་པ་,ཤབས་པ་,ཤབ་པ་,ཤོབས་,TDC,
ཤུག་པ་,བཤུགས་པ་,བཤུག་པ་,ཤུགས་,TDC,PH
ཤུག་པ་,བཤུགས་པ་,གཤུབ་པ་༼བཤུབ་པ་༽,ཤུབས་,,PH
ཤེར་བ་,བཤེར་བ་,བཤེར་བ་,ཤེར་,TDC,
ཤེས་པ་,ཤེས་པ་,ཤེས་པ་,,TDC,
ཤེས་པ་,ཤེས་པ་,ཤེས་པ་,ཤེས་,,PH
ཤོང་བ་,ཤོང་བ་,ཤོང་བ་,,TDC,
ཤོད་པ་,བཤད་པ་,བཤད་པ་,ཤོད་,TDC,
གཤར་བ་,བཤར་བ་,གཤར་བ་,གཤོར་,TDC,
གཤིབ་པ་,གཤིབས་པ་,གཤིབ་པ་,གཤིབས་,TDC,
གཤུང་བ་,བཤུངས་པ་,བཤུང་བ་,ཤུངས་,TDC,
གཤེ་བ་,གཤེ་བ་,གཤེ་བ་,གཤེ་,TDC,
གཤེགས་པ་,གཤེགས་པ་,གཤེགས་པ་,,TDC,
གཤེགས་པ་,གཤེགས་པ་,གཤེགས་པ་,གཤེགས་,,PH
གཤོ་བ་,བཤོས་པ་,བཤོ་བ་,ཤོས་,TDC,
གཤོག་པ་,བཤགས་པ་,གཤག་པ་,གཤོགས་,TDC,PH
གཤོང་བ་,བཤངས་པ་,བཤང་བ་,ཤོངས,TDC,
གཤོམ་པ་,བཤམས་པ་,བཤམ་པ་,ཤོམས་,TDC,PH
གཤོར་བ་,བཤོར་བ་,བཤོར་བ་,གཤོར་,TDC,
གཤོར་བ་,བཤར་བ་,བཤར་བ་,གཤོར་,TDC,
བཤའ་བ་,བཤས་པ་,བཤའ་བ་,བཤོས་,TDC,
བཤལ་བ་,བཤལ་བ་,བཤལ་བ་,བཤོལ་,TDC,
བཤལ་བ་,བཤལ་བ་,བཤལ་བ་,,TDC,
བཤུ་བ་,བཤུས་པ་,བཤུ་བ་,ཤུས་,TDC,PH
བཤུད་པ་,བཤུད་པ་,བཤུད་པ་,ཤུད་,TDC,
བཤུད་པ་,བཤུད་པ་,བཤུད་པ་,,TDC,
བཤུམ་པ་,བཤུམས་པ་,བཤུམ་པ་,ཤུམས་,TDC,
བཤུར་བ་,བཤུར་བ་,བཤུར་བ་,ཤུར་,TDC,
བཤོལ་བ་,བཤོལ་བ་,བཤོལ་བ་,ཤོལ་,TDC,
