སངས་པ་,སངས་པ་,སངས་པ་,,TDC,,
སངས་པ་,སངས་པ་,སངས་པ་,སངས་,,,GT
སངས་པ་,བསངས་པ་,བསང་པ་,སངས་,,,GT
སད་པ་,སད་པ་,སད་པ་,,TDC,,
སད་པ་,སད་པ་,སད་པ་,སད་,TDC,PH,GT
སིམ་པ་,སིམས་པ་,སིམ་པ་,,TDC,PH,
སིམ་པ་,སིམས་པ་,སིམ་པ་,སིམས་,,,GT
སིལ་བ་,གསིལ༼ད༽་བ་,གསིལ་བ་,སིལ༼ད༽་,,,GT
སུན་པ་,སུན་པ་,སུན་པ་,,TDC,,
སུན་པ་,བསུན་པ་,བསུན་པ་,སུན་,,PH,
སུན་པ་,བསུན༼ད༽་པ་,བསུན་པ་,སུན༼ད༽་,,,GT
སུབ་པ་,བསུབས་པ་,བསུབ་པ་,སུབས་,TDC,,GT
སུམ་པ་,བསུམས་པ་,བསུམ་པ་,སུམས་,TDC,,
སེག་པ་,སེག་པ་,སེག་པ་,,TDC,,
སེང་བ་,སེངས་པ་,སེང་བ་,,TDC,PH,
སེམས་པ་,བསམས་པ་,བསམ་པ་,སོམས་,TDC,PH,GT
སེལ་བ་,བསལ་བ་,བསལ་བ་,སོལ་,TDC,,
སེལ་བ་,བསལ་བ་,བསལ་བ་,སེལ་༼སོལ་༽,,PH,
སེལ་བ་,བསལ༼ད༽་བ་,བསལ་བ་,སེལ༼ད༽་,,,GT
སོགས་པ་,སོགས་པ་,སོགས་པ་,,TDC,,
སོང་བ་,སོང་བ་,སོང་བ་,,,PH,
སོང་བ་,སོང་བ་,སོང་བ་,སོང་,,,GT
སོན་པ་,སོན་པ་,སོན་པ་,,TDC,PH,
སོན་པ་,སོན༼ད༽་པ་,སོན་པ་,སོན༼ད༽་,,,GT
སོན་པ་,བསོན༼ད༽་པ་,བསོན་པ་,སོན༼ད༽་,,,GT
སོས་པ་,སོས་པ་,སོས་པ་,,TDC,PH,
སོས་པ་,སོས་པ་,སོས་པ་,སོས་,,,GT
སྲ་བ་,བསྲ་བ་,བསྲ་བ་,སྲ་,,,GT
སྲན་པ་,བསྲན་པ་,བསྲན་པ་,སྲོན་,TDC,,
སྲན་པ་,བསྲན༼ད༽་པ་,བསྲན་པ་,སྲན༼ད༽་,,,GT
སྲབ་པ་,བསྲབས་པ་,བསྲབ་པ་,སྲོབས་,TDC,PH,
